duration,duration_seconds,start_time,start_station,start_terminal,end_time,end_station,end_terminal,bike_number,rider_type,id
0h 21m 54sec.,1314,2012-03-22 16:43:00,Lamont & Mt Pleasant NW,31107,2012-03-22 17:05:00,Metro Center / 12th & G St NW,31230,W00746,Registered,310344
0h 12m 23sec.,743,2012-01-17 11:38:00,17th & K St NW / Farragut Square,31233,2012-01-17 11:51:00,7th & F St NW / National Portrait Gallery,31232,W01284,Registered,47225
0h 12m 30sec.,750,2012-03-03 14:30:00,21st & I St NW,31205,2012-03-03 14:42:00,7th & F St NW / National Portrait Gallery,31232,W00495,Registered,209611
0h 10m 47sec.,647,2012-02-18 12:18:00,Georgia Ave and Fairmont St NW,31207,2012-02-18 12:29:00,Massachusetts Ave & Dupont Circle NW,31200,W00021,Registered,157101
0h 0m 3sec.,3,2012-03-06 09:42:00,Massachusetts Ave & Dupont Circle NW,31200,2012-03-06 09:42:00,Massachusetts Ave & Dupont Circle NW,31200,W01309,Registered,220000
0h 6m 37sec.,397,2012-01-15 20:42:00,21st & M St NW,31212,2012-01-15 20:48:00,15th & P St NW,31201,W00173,Registered,44242
0h 15m 4sec.,904,2012-02-14 19:05:00,21st & I St NW,31205,2012-02-14 19:20:00,15th & P St NW,31201,W00585,Registered,144010
0h 6m 46sec.,406,2012-03-31 08:58:00,Columbia Rd & Belmont St NW,31113,2012-03-31 09:05:00,17th & Corcoran St NW,31214,W01048,Registered,359016
0h 12m 4sec.,724,2012-03-31 11:58:00,14th & Harvard St NW,31105,2012-03-31 12:10:00,McPherson Square - 14th & H St NW,31216,W00270,Registered,360015
0h 7m 44sec.,464,2012-02-13 15:17:00,Massachusetts Ave & Dupont Circle NW,31200,2012-02-13 15:24:00,Adams Mill & Columbia Rd NW,31104,W01417,Registered,138850
0h 13m 44sec.,824,2012-03-26 16:45:00,Georgetown Harbor / 30th St NW,31215,2012-03-26 16:58:00,Adams Mill & Columbia Rd NW,31104,w00644,Registered,333681
0h 9m 42sec.,582,2012-03-24 10:56:00,25th St & Pennsylvania Ave NW,31237,2012-03-24 11:06:00,17th & Corcoran St NW,31214,W01374,Registered,323428
0h 24m 20sec.,1460,2012-01-13 08:48:00,Van Ness Metro / UDC,31300,2012-01-13 09:12:00,10th St & Constitution Ave NW,31219,W00983,Registered,37103
0h 11m 55sec.,715,2012-03-02 08:45:00,Massachusetts Ave & Dupont Circle NW,31200,2012-03-02 08:57:00,US Dept of State / Virginia Ave & 21st St NW,31220,W00412,Registered,205750
0h 2m 48sec.,168,2012-01-28 16:11:00,16th & Harvard St NW,31103,2012-01-28 16:14:00,Lamont & Mt Pleasant NW,31107,W00075,Registered,83867
0h 4m 10sec.,250,2012-01-22 20:20:00,14th & Harvard St NW,31105,2012-01-22 20:24:00,Adams Mill & Columbia Rd NW,31104,W00754,Registered,62588
0h 6m 41sec.,401,2012-02-22 22:49:00,Thomas Circle,31241,2012-02-22 22:56:00,20th & O St NW / Dupont South,31234,W01153,Registered,174607
0h 16m 10sec.,970,2012-03-12 18:17:00,L'Enfant Plaza / 7th & C St SW,31218,2012-03-12 18:34:00,Eastern Market / 7th & North Carolina Ave SE,31610,W00092,Registered,250421
0h 21m 21sec.,1281,2012-01-24 10:46:00,13th & H St NE,31611,2012-01-24 11:08:00,4th St & Massachusetts Ave NW,31604,W00418,Registered,66437
0h 6m 8sec.,368,2012-01-18 22:17:00,5th St & K St NW,31600,2012-01-18 22:23:00,1st & M St NE,31603,W01074,Registered,52953
0h 10m 3sec.,603,2012-03-21 17:53:00,Lynn & 19th St North,31014,2012-03-21 18:03:00,37th & O St NW / Georgetown University,31236,W00926,Registered,304557
